date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:34:10	304/304	---M--	200	added ('OK')	text/plain	date:Fri,%2025%20Jun%202010%2010:39:11%20GMT	http://www.location-des-bernardins.fr/robots.txt		(from )
10:34:10	15248/15248	---M--	200	added ('OK')	text/html	date:Thu,%2005%20Jun%202014%2008:34:10%20GMT	http://www.location-des-bernardins.fr/	C:/TRAVAIL/Cave/Vieux%20site%20location/location%20bernardins/www.location-des-bernardins.fr/index.html	(from )
10:34:11	37300/37300	---M--	200	added ('OK')	text/html	date:Thu,%2005%20Jun%202014%2008:34:10%20GMT	http://www.location-des-bernardins.fr/index.php?option=com_content&view=article&id=2&Itemid=2&92b6bbc681d29340417807d8732c6bbe=daadb48e23c9a0955b471aaefb08a214	C:/TRAVAIL/Cave/Vieux%20site%20location/location%20bernardins/www.location-des-bernardins.fr/index4942.html	(from http://www.location-des-bernardins.fr/)
10:34:11	14550/14550	---M--	200	added ('OK')	text/html	date:Thu,%2005%20Jun%202014%2008:34:10%20GMT	http://www.location-des-bernardins.fr/?92b6bbc681d29340417807d8732c6bbe=daadb48e23c9a0955b471aaefb08a214	C:/TRAVAIL/Cave/Vieux%20site%20location/location%20bernardins/www.location-des-bernardins.fr/indexe790.html	(from http://www.location-des-bernardins.fr/)
10:34:12	27106/27106	---M--	200	added ('OK')	text/html	date:Thu,%2005%20Jun%202014%2008:34:11%20GMT	http://www.location-des-bernardins.fr/index.php?option=com_content&view=article&id=3&Itemid=3&92b6bbc681d29340417807d8732c6bbe=daadb48e23c9a0955b471aaefb08a214	C:/TRAVAIL/Cave/Vieux%20site%20location/location%20bernardins/www.location-des-bernardins.fr/index9e41.html	(from http://www.location-des-bernardins.fr/)
10:34:13	16063/16063	---M--	200	added ('OK')	text/html	date:Thu,%2005%20Jun%202014%2008:34:11%20GMT	http://www.location-des-bernardins.fr/index.php?option=com_content&view=article&id=4&Itemid=4&92b6bbc681d29340417807d8732c6bbe=daadb48e23c9a0955b471aaefb08a214	C:/TRAVAIL/Cave/Vieux%20site%20location/location%20bernardins/www.location-des-bernardins.fr/indexcdda.html	(from http://www.location-des-bernardins.fr/)
10:34:14	19376/19376	---M--	200	added ('OK')	text/html	date:Thu,%2005%20Jun%202014%2008:34:13%20GMT	http://www.location-des-bernardins.fr/index.php?option=com_content&view=article&id=8&Itemid=8&92b6bbc681d29340417807d8732c6bbe=daadb48e23c9a0955b471aaefb08a214	C:/TRAVAIL/Cave/Vieux%20site%20location/location%20bernardins/www.location-des-bernardins.fr/index01b4.html	(from http://www.location-des-bernardins.fr/)
10:34:14	16017/16017	---M--	200	added ('OK')	text/html	date:Thu,%2005%20Jun%202014%2008:34:13%20GMT	http://www.location-des-bernardins.fr/index.php?option=com_content&view=article&id=5&Itemid=5&92b6bbc681d29340417807d8732c6bbe=daadb48e23c9a0955b471aaefb08a214	C:/TRAVAIL/Cave/Vieux%20site%20location/location%20bernardins/www.location-des-bernardins.fr/index7cc9.html	(from http://www.location-des-bernardins.fr/)
10:34:15	27686/27686	---M--	200	added ('OK')	text/html	date:Thu,%2005%20Jun%202014%2008:34:14%20GMT	http://www.location-des-bernardins.fr/index.php?option=com_content&view=article&id=13&Itemid=7&92b6bbc681d29340417807d8732c6bbe=daadb48e23c9a0955b471aaefb08a214	C:/TRAVAIL/Cave/Vieux%20site%20location/location%20bernardins/www.location-des-bernardins.fr/indexb99c.html	(from http://www.location-des-bernardins.fr/)
10:34:16	3211/3211	---M--	200	added ('OK')	text/html	date:Thu,%2005%20Jun%202014%2008:34:15%20GMT	http://www.location-des-bernardins.fr/index.php?view=article&id=1:accueil&tmpl=component&print=1&layout=default&page=	C:/TRAVAIL/Cave/Vieux%20site%20location/location%20bernardins/www.location-des-bernardins.fr/indexd307.html	(from http://www.location-des-bernardins.fr/)
10:34:16	21860/21860	---M--	200	added ('OK')	text/html	date:Thu,%2005%20Jun%202014%2008:34:16%20GMT	http://www.location-des-bernardins.fr/index.php?option=com_artforms&formid=1&Itemid=6&92b6bbc681d29340417807d8732c6bbe=daadb48e23c9a0955b471aaefb08a214	C:/TRAVAIL/Cave/Vieux%20site%20location/location%20bernardins/www.location-des-bernardins.fr/index4acc.html	(from http://www.location-des-bernardins.fr/)
10:34:17	16158/16158	---M--	200	added ('OK')	text/html	date:Thu,%2005%20Jun%202014%2008:34:16%20GMT	http://www.location-des-bernardins.fr/index.php?option=com_artforms&formid=2&Itemid=9&92b6bbc681d29340417807d8732c6bbe=daadb48e23c9a0955b471aaefb08a214	C:/TRAVAIL/Cave/Vieux%20site%20location/location%20bernardins/www.location-des-bernardins.fr/indexc230.html	(from http://www.location-des-bernardins.fr/)
10:34:18	37300/37300	---M--	200	added ('OK')	text/html	date:Thu,%2005%20Jun%202014%2008:34:17%20GMT	http://www.location-des-bernardins.fr/index.php?option=com_content&view=article&id=2&Itemid=2	C:/TRAVAIL/Cave/Vieux%20site%20location/location%20bernardins/www.location-des-bernardins.fr/indexf119.html	(from http://www.location-des-bernardins.fr/?92b6bbc681d29340417807d8732c6bbe=daadb48e23c9a0955b471aaefb08a214)
10:34:19	27106/27106	---M--	200	added ('OK')	text/html	date:Thu,%2005%20Jun%202014%2008:34:17%20GMT	http://www.location-des-bernardins.fr/index.php?option=com_content&view=article&id=3&Itemid=3	C:/TRAVAIL/Cave/Vieux%20site%20location/location%20bernardins/www.location-des-bernardins.fr/indexe882.html	(from http://www.location-des-bernardins.fr/?92b6bbc681d29340417807d8732c6bbe=daadb48e23c9a0955b471aaefb08a214)
10:34:20	16063/16063	---M--	200	added ('OK')	text/html	date:Thu,%2005%20Jun%202014%2008:34:19%20GMT	http://www.location-des-bernardins.fr/index.php?option=com_content&view=article&id=4&Itemid=4	C:/TRAVAIL/Cave/Vieux%20site%20location/location%20bernardins/www.location-des-bernardins.fr/indexaf14.html	(from http://www.location-des-bernardins.fr/?92b6bbc681d29340417807d8732c6bbe=daadb48e23c9a0955b471aaefb08a214)
10:34:20	19376/19376	---M--	200	added ('OK')	text/html	date:Thu,%2005%20Jun%202014%2008:34:20%20GMT	http://www.location-des-bernardins.fr/index.php?option=com_content&view=article&id=8&Itemid=8	C:/TRAVAIL/Cave/Vieux%20site%20location/location%20bernardins/www.location-des-bernardins.fr/index4306.html	(from http://www.location-des-bernardins.fr/?92b6bbc681d29340417807d8732c6bbe=daadb48e23c9a0955b471aaefb08a214)
